date,rating,review
2019.04.26. 06:16,"별점(10점 만점 중)
10",닥터 스트레인지 양반 ! 꼴랑 찾아낸 승리하는 미래가 이거였수? 더 찾지 그랬수 .어이 캡틴 . 가정 지키고 싶다는 친구 등 떠밀고 본인은 행복한 미래?
2022.12.14. 04:53,"별점(10점 만점 중)
10",하.... 너무 만족해서 3번 극장가서 본 영화였습니다.
2020.05.26. 22:47,"별점(10점 만점 중)
10",말이필요합니까
2019.04.25. 19:53,"별점(10점 만점 중)
10",명작이야 닥터스트레인지가 애들 다시 돌려보낼때 진짜 울뻔
2019.04.24. 12:13,"별점(10점 만점 중)
10",마블영화보면서 울컥한건 처음입니다..꼭 보세요 너무 재밌습니다!
2022.03.17. 09:39,"별점(10점 만점 중)
10",이시대 최고의 블록버스터.. 만들어주셔서 감사합니다
2020.05.09. 10:18,"별점(10점 만점 중)
10",마블 3000만큼 사랑해
2020.12.20. 20:47,"별점(10점 만점 중)
10",울었다 ㅠ진짜 눈물날만큼 재밌었다
2023.06.04. 04:08,"별점(10점 만점 중)
10",내 20대의 시작과 30대의 시작을 함께한 마블.. 어벤져스.. 그리고 아이언맨...
2021.01.02. 20:15,"별점(10점 만점 중)
10",고마워요..사랑합니다 마블
2020.05.22. 12:39,"별점(10점 만점 중)
9",스포일러가 포함된 감상평입니다. 감상평보기
2020.06.13. 00:38,"별점(10점 만점 중)
10",어벤져스다운 영화였다
2019.04.24. 13:01,"별점(10점 만점 중)
10",이시대에 태어나서 다행이다...
2019.04.25. 06:17,"별점(10점 만점 중)
10",가장 임펙트있는 장면 나는 아이언맨이다
2019.04.24. 11:16,"별점(10점 만점 중)
10",스포를 즈제하겠습니다. 너무 재밋다 정도는 아니지만 좋은 마무리가 아닌가 싶습니다
2020.05.10. 13:43,"별점(10점 만점 중)
10",어벤져스 어셈블!!
2021.09.01. 11:35,"별점(10점 만점 중)
10",재밌네요 어벤져스 엔드게임
2020.06.28. 18:31,"별점(10점 만점 중)
10",역시 재미있었어요 ㅎㅎㅎㅎ
2019.04.24. 23:53,"별점(10점 만점 중)
10",정말 재밌는 영화인데 먹먹합니다.. 앞으로 볼 수 없다는 것 때문에요....
2019.04.24. 19:55,"별점(10점 만점 중)
10",어벤저스가 마지막이라니 ㅠㅠ여운남네요..
2019.04.24. 14:27,"별점(10점 만점 중)
10",스포는 자제... 많이 울었네요ㅠㅠ
2019.04.24. 13:28,"별점(10점 만점 중)
10",쿠키영상없는데 사람들 안나가고 기대중 ㄷ ㄷ
2019.04.24. 11:15,"별점(10점 만점 중)
9",재밌긴한데 인피니티워가 더재밌었음
2020.05.07. 17:54,"별점(10점 만점 중)
10",3번보고 재개봉으로 또봐도 눈물 펑펑이에요
2019.04.27. 12:14,"별점(10점 만점 중)
10",마블을 보면서 울게 될 줄이야.. 너무 멋있었습니다
2020.10.04. 11:44,"별점(10점 만점 중)
10",영화 재밌게 잘 봤습니다.감사합니다.
2020.09.13. 21:27,"별점(10점 만점 중)
8",명불허전 입니다 꼭보세요
